Blog	yet	week	real	heart	both	him	times	once	such	did	without	doesn	city	found	young	lot	name	track	bit	because	pretty	black	any	friends	everything	its	different	lost	why	play	high	came	red	until	three	white	enough	point	went	kind	tell	b	fun	hard	light	does	left	free	didn	set	head	sounds	bad	far	past	sometimes	put	each	together	maybe	might	dark	th	between	along	doing	early	said	thought	morning	blue	happy	pop	beautiful	used	least	quite	group	girl	sure	video	anything	change	four	single	played	summer	art	couple	john	coming	later	school	makes	give	late	record	face	though	style	ago	dance	probably	words	almost	yes	dead	sun	story	turn	wasn	fire	friend	run	fall	help	side	eyes	under	release	soul	perfect	stuff	start	room	listen	whole	remember	half	comes	hear	oh	heard	looking	records	radio	myself	favorite	actually	call	blog	getting	tracks	guitar	released	cover	line	won	already	having	playing	course	often	called	feeling	working	close	e	making	version	future	number	trying	took	someone	try	done	saw	break	hit	hand	list	sense	voice	isn	idea	la	bands	death	family	o	self	hope	shows	read	recorded	stop	felt	moment	dream	believe	cool	five	lyrics	finally	use	small	american	stay	stage	everyone	r	sort	country	st	rest	months	listening	taken	punk	anyone	deep	below	beat	must	return	experience	baby	yeah	moon	rather	sweet	during	street	project	open	true	seen	talk	either	watch	seems	gets	major	less	club	write	albums	front	artists	super	writing	become	party	across	picture	nice	gone	hours	david	anyway	classic	started	instead	note	age	fan	order	clear	wanted	check	singer	worth	musical	star	boy	bob	tour	cut	short	solo	machine	original	space	else	follow	recently	beach	hell	seem	decided	taking	knows	haven	yourself	title	miss	final	waiting	book	wrong	vocals	month	however	king	perhaps	sea	green	girls	behind	works	enjoy	god	talking	low	soon	reason	game	london	trip	hot	debut	easy	slow	wait	especially	mark	road	others	sing	ones	following	feels	special	amazing	case	local	seeing	matter	guys	previous	leave	move	history	mix	including	artist	mean	complete	couldn	singing	able	itself	guy	heavy	weekend	recent	cold	attention	reading	audience	blood	wish	several	drive	fact	bring	certainly	important	simple	wouldn	straight	alone	power	word	definitely	please	lead	needed	saying	turned	stars	bass	label	goes	link	near	com	rain	mostly	written	form	shit	themselves	minutes	studio	inside	guess	means	air	ready	based	simply	boys	although	given	outside	known	material	walk	sad	blues	indie	james	whatever	exactly	die	living	earlier	energy	york	kids	door	scene	l	born	lives	men	deal	interesting	n	electric	job	liked	town	mr	happen	forever	against	dreams	hold	etc	told	x	ride	piece	running	sleep	wild	minute	huge	wave	third	personal	wonder	u	entire	somewhere	december	himself	pink	sunday	spent	forward	due	example	gold	person	car	takes	hands	weeks	modern	mine	fans	watching	wall	knew	review	upon	paul	eventually	state	above	looks	longer	water	c	sky	west	places	thanks	non	fantastic	performance	needs	despite	g	opening	theme	de	ep	touch	moved	broken	national	ten	series	worked	brilliant
MTJR RANTS & RAVES ON MUSIC	30	65	11	27	45	9	12	18	31	14	18	5	21	18	20	7	41	49	6	5	3	33	15	15	21	89	18	23	11	14	24	14	13	6	35	22	10	13	5	10	10	26	14	8	18	6	10	17	7	58	19	33	7	23	17	6	9	34	29	7	11	21	24	50	16	6	47	10	4	9	11	5	80	17	12	2	6	25	13	3	4	15	4	35	29	22	20	22	9	33	14	14	9	11	13	18	88	7	14	148	6	27	2	5	13	35	17	6	16	7	9	8	10	5	12	3	16	10	34	71	16	21	1	6	8	8	14	2	18	16	12	6	9	5	36	17	1	8	3	7	0	5	63	72	52	12	23	6	12	14	15	10	17	14	11	17	3	9	24	20	10	5	8	13	5	4	13	8	7	11	11	7	23	39	3	13	17	35	23	83	20	25	7	16	2	82	3	10	9	24	3	5	15	22	9	13	14	17	6	9	8	12	4	20	12	10	6	6	3	43	4	26	2	14	5	20	20	4	1	8	10	13	24	8	26	14	10	9	4	8	4	6	3	8	16	25	6	41	13	43	8	22	13	5	13	6	1	4	4	21	2	31	11	9	6	10	6	4	13	16	1	30	4	29	7	12	7	21	14	4	42	24	29	39	6	18	7	13	5	2	9	10	8	2	6	14	4	10	5	14	5	38	5	8	1	5	14	8	15	13	10	1	4	1	16	8	3	4	20	2	14	61	5	11	1	7	13	16	10	7	6	23	10	7	8	4	2	2	12	2	21	10	6	14	12	28	20	3	11	3	4	5	14	3	15	2	6	11	2	7	4	11	2	11	6	2	7	5	2	17	3	6	7	15	4	7	0	16	5	3	8	7	31	25	10	3	3	3	9	2	20	25	4	9	5	57	2	2	3	7	11	24	10	19	4	6	7	14	18	4	9	7	19	9	2	5	4	17	5	9	30	5	4	9	13	13	13	11	6	4	24	9	1	2	4	1	1	6	4	7	4	7	6	36	3	9	1	5	9	6	9	16	21	18	4	9	7	3	9	6	2	0	9	12	6	5	23	4	5	10	9	4	16	2	32	0	7	2	2	4	14	7	5	5	2	7	6	4	10	10	3	4	5	10	16	6	4	5	13	58	8	53	2	7	8	3	14	20	3	3
Doginasweater's Music Reviews (And Other Horseshit)	2	0	5	0	10	5	3	1	3	1	2	4	2	1	0	7	5	7	2	9	9	1	6	0	5	0	4	2	3	2	6	2	2	3	2	1	0	2	2	0	2	7	0	0	0	4	1	1	5	0	2	10	4	0	2	3	1	0	2	4	1	2	0	0	0	3	2	1	1	0	2	3	9	0	2	4	3	0	0	8	0	7	1	0	0	3	0	2	2	1	3	1	1	0	5	1	28	0	7	3	3	2	7	1	6	0	0	0	1	1	1	1	0	0	7	0	4	0	2	9	2	0	0	0	0	12	2	2	3	1	5	2	0	1	5	1	2	6	8	0	0	1	6	2	4	4	1	0	6	1	2	0	4	5	2	0	0	0	1	4	0	2	2	1	4	2	1	5	0	0	0	1	0	4	2	3	0	3	0	0	0	5	0	1	1	5	1	0	0	1	0	0	2	1	0	1	2	3	0	0	3	0	1	2	0	1	1	3	0	8	3	0	0	0	1	0	1	2	3	0	1	0	1	0	0	0	0	3	1	2	0	1	2	0	1	0	2	0	1	2	1	2	0	0	0	0	3	0	0	0	0	0	0	0	2	1	5	0	0	0	0	3	2	2	0	0	1	1	0	1	3	0	2	0	0	0	1	0	3	0	2	0	0	0	0	4	1	1	1	0	1	3	2	1	0	1	0	1	1	0	0	1	1	0	5	1	2	1	0	0	0	3	5	0	0	1	0	0	0	3	3	0	3	0	6	4	2	3	2	0	0	1	0	3	0	2	1	2	0	1	0	0	0	0	2	0	0	0	4	0	0	0	0	0	1	0	0	3	1	1	2	1	0	0	0	4	0	0	1	1	0	0	0	1	0	0	0	0	3	0	1	1	6	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	2	0	1	3	0	2	1	1	2	2	0	1	0	0	0	0	0	1	0	0	2	2	2	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	2	1	1	2	1	0	3	1	0	3	0	0	1	1	0	2	0	1	1	1	0	0	2	0	2	0	0	0	2	0	0	1	0	1	0	1	0	0	1	0	1	0	2	2	0	0	4	0	0	2	0	3	0	0	1	1	0	0	0	0
funky little demons	2	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	2	0	0	1	1	0	3	1	3	0	3	3	0	0	2	1	1	1	0	1	1	0	0	0	1	0	1	1	0	1	1	1	0	2	1	2	1	1	0	1	0	2	0	1	0	1	3	1	0	1	2	0	1	0	0	0	0	0	0	3	0	1	3	0	2	0	0	1	1	2	0	2	0	1	1	0	0	1	1	0	1	0	1	3	0	0	1	1	1	0	0	0	1	2	3	0	0	0	1	0	2	0	1	0	0	1	1	1	0	1	0	0	1	1	1	0	0	2	0	0	0	0	0	1	0	1	0	0	3	0	0	2	0	0	0	1	1	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	1	1	1	3	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	3	1	0	0	1	0	0	0	1	0	0	1	2	1	1	2	0	2	0	0	2	0	0	0	0	1	0	0	1	0	0	2	3	0	0	2	1	0	1	2	1	1	1	2	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0
Eli Jace | The Mind Is A Terrible Thing To Paste	1	2	2	3	2	3	3	2	2	5	4	2	0	2	17	3	4	10	0	0	1	8	5	2	4	13	3	3	2	2	4	7	1	2	4	4	1	4	3	1	3	4	1	4	4	2	3	2	2	4	3	12	2	1	5	1	4	4	4	7	3	4	3	2	6	1	5	2	2	3	2	0	2	1	1	1	3	11	4	2	3	4	0	4	10	4	4	1	0	0	1	7	3	4	5	2	3	2	4	0	2	0	2	4	2	0	2	6	0	3	2	3	1	1	3	3	6	13	3	7	1	5	0	1	3	0	1	5	4	3	5	1	6	2	2	0	0	1	1	2	0	0	10	17	5	1	5	1	1	0	0	0	0	1	2	3	1	1	3	10	0	2	2	0	2	1	0	1	2	2	0	1	1	4	0	0	0	4	9	0	0	2	2	4	1	0	0	7	3	0	0	1	5	2	1	0	1	3	0	1	3	2	1	1	0	1	2	2	2	4	0	4	0	8	0	1	2	0	1	4	0	3	6	0	0	1	2	1	0	0	1	0	7	3	3	0	1	7	2	1	0	0	2	2	2	2	1	3	0	3	0	6	4	0	4	0	0	0	4	0	0	2	0	2	9	0	0	3	6	2	3	0	3	3	0	4	1	0	3	0	2	0	3	0	1	6	0	8	0	0	1	6	0	1	3	0	1	0	2	1	1	0	4	1	2	1	0	7	0	1	1	2	2	3	1	1	1	2	1	2	0	1	4	3	0	1	0	0	2	0	2	0	6	0	0	0	3	2	2	1	6	0	0	0	5	0	5	3	0	0	0	0	0	0	1	1	3	0	0	3	1	5	0	1	1	2	0	2	2	2	0	1	6	2	1	1	3	1	1	2	2	2	3	1	3	3	2	1	1	2	1	0	0	1	0	2	2	1	1	0	0	0	0	8	1	0	0	3	2	0	0	0	0	0	0	1	1	1	0	0	0	2	0	0	0	1	1	1	6	4	1	1	0	1	3	3	0	1	0	3	1	1	4	0	1	1	1	4	1	3	1	0	2	5	0	0	1	1	3	2	1	0	1	1	5	0	3	1	10	2	1	1	2	0	3	2	0	0	6	7	1	0	0	0	1	0	0	0	6	0	0	2	0	1	1	0	4	0	2	1
Head Space Daily	7	2	2	6	2	0	3	1	1	4	7	3	0	0	11	0	11	9	0	0	0	6	6	1	0	9	4	4	4	3	0	8	0	4	11	22	4	2	4	0	2	2	0	0	0	6	2	1	0	8	33	3	2	8	5	8	3	2	4	0	2	0	4	0	3	1	5	2	3	5	0	3	3	2	3	2	2	1	0	0	1	0	1	2	1	9	4	3	3	8	4	3	3	3	3	2	5	2	1	47	1	5	2	15	2	9	4	5	6	0	1	3	0	6	2	0	3	1	0	1	5	4	1	3	4	21	0	1	2	1	2	1	4	5	1	0	0	0	3	2	1	8	4	4	4	1	2	4	3	9	2	2	2	3	7	3	4	15	0	2	4	11	2	4	1	0	2	2	4	3	0	0	3	12	2	1	0	2	1	34	1	6	4	1	0	4	1	2	6	1	1	0	2	6	0	1	2	0	3	2	1	0	3	0	0	2	1	5	11	0	0	2	16	4	9	2	0	0	0	0	4	0	3	4	0	0	6	6	0	2	2	0	7	1	3	3	4	27	5	5	2	2	6	1	2	1	0	3	3	8	2	4	1	3	1	1	1	3	2	0	1	0	2	13	4	2	0	2	0	2	2	0	3	29	1	3	0	0	0	1	0	11	0	0	0	1	0	3	6	2	0	0	0	1	2	3	5	10	2	0	4	1	0	0	2	1	0	6	4	3	0	1	0	1	6	0	5	1	0	4	1	2	2	4	0	2	6	4	0	0	0	3	3	0	2	0	8	0	2	1	1	9	3	2	0	0	4	1	2	2	2	11	2	3	0	3	0	2	0	0	0	3	6	2	2	0	0	0	1	4	0	0	3	3	2	13	1	0	2	0	0	2	2	9	2	0	2	0	0	4	0	2	3	4	7	2	0	1	0	0	1	9	0	0	4	1	0	1	2	2	0	3	0	0	0	3	2	3	0	0	0	4	0	0	1	2	3	0	3	0	0	0	0	12	0	2	1	3	0	1	0	0	2	0	4	3	0	0	2	1	0	2	0	1	2	1	0	1	1	12	0	1	6	0	0	2	0	1	2	0	3	2	2	2	0	2	2	0	0	0	1	1	2	7	3	2	0	0	1	19	1	0	1	3	0	0	20	3	2	2
The Jeopardy of Contentment	3	10	5	2	9	21	7	4	4	9	4	16	4	3	3	12	2	58	18	16	16	8	18	2	4	2	2	2	9	5	11	6	2	3	11	1	6	8	3	13	3	21	6	7	5	3	1	4	13	1	3	11	11	12	7	3	18	5	7	9	9	8	3	5	3	7	7	9	9	3	4	1	10	2	3	6	3	2	3	11	16	10	6	6	4	6	1	5	11	3	5	3	6	10	3	0	7	1	7	1	5	1	11	5	6	3	4	2	4	3	4	6	6	6	3	1	1	1	8	11	5	2	13	6	3	18	6	6	2	11	4	6	6	3	5	4	9	36	8	3	14	8	17	22	7	4	3	3	5	3	7	2	1	3	4	5	1	2	1	2	7	2	5	6	12	6	6	1	3	2	3	6	8	4	3	5	3	26	9	1	2	4	6	16	8	4	3	2	2	2	5	3	4	19	7	2	1	2	2	2	3	2	1	11	2	2	1	3	0	3	4	6	6	0	2	2	5	1	2	1	1	3	4	4	0	6	1	4	3	9	2	15	5	4	0	0	7	40	3	8	3	6	1	2	1	2	12	4	3	8	1	5	2	2	4	3	6	2	2	4	11	2	7	6	3	1	2	3	3	1	8	1	2	1	1	2	3	5	3	5	2	3	2	5	3	11	4	1	2	2	12	14	2	6	3	2	0	3	0	6	1	4	6	1	3	1	6	1	0	2	4	1	4	0	3	7	1	0	5	0	1	2	1	0	8	4	7	2	0	2	7	0	0	0	0	0	8	6	1	1	7	3	0	8	5	3	3	0	4	3	0	1	6	0	1	3	2	4	4	0	2	1	1	1	0	11	3	2	2	1	0	2	2	4	3	1	1	2	1	3	3	3	7	0	10	1	0	2	3	0	2	7	0	4	10	4	0	3	1	0	9	1	2	8	3	2	2	0	4	2	0	4	0	2	1	4	1	6	1	10	0	4	4	6	3	7	1	1	0	2	4	0	2	0	1	1	2	0	2	1	6	0	4	3	1	0	3	2	0	1	3	2	4	2	2	1	1	6	5	3	0	2	1	0	6	3	0	4	9	0	3	1	3	3	2	5	3	7	4	0	0	4	1	6	0	3	3	0	8	4	0	1	1	0	2	3	0	7	0	5
Boggle Me Thursday	0	51	0	0	25	0	0	25	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	1	0	0	0	0	0	0	0	0	50	0	0	0	0	25	0	25	0	0	0	0	0	0	0	0	0	0	0	0	17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	25	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	25	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	25	0	0	0	25	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mystic Chords Of Memory	0	0	3	13	0	0	5	2	0	2	3	0	7	1	16	0	3	1	0	0	3	9	0	4	2	0	0	2	4	0	0	0	7	1	0	5	1	0	0	1	3	3	0	3	3	0	3	4	0	0	4	0	2	0	0	0	2	0	8	5	1	1	1	1	1	3	0	0	1	3	6	1	0	3	2	0	0	0	9	0	2	0	3	2	0	0	2	0	0	0	0	0	2	0	4	0	1	2	1	0	0	11	0	2	1	0	3	3	0	0	0	4	1	5	4	1	0	6	0	0	3	0	0	0	5	0	0	3	1	4	0	3	0	1	2	31	3	0	0	2	3	0	0	0	0	1	0	1	1	1	1	0	0	0	3	0	1	3	0	0	3	1	1	0	1	2	0	0	10	0	1	0	0	0	0	0	5	0	1	1	5	0	3	0	0	0	2	1	1	1	1	0	1	0	0	0	1	3	3	26	3	3	0	0	3	1	0	0	1	0	0	2	0	0	2	2	0	4	0	1	0	3	0	1	0	1	3	0	3	0	2	1	0	4	0	3	1	0	0	2	0	0	0	0	2	0	3	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	2	1	0	1	0	1	1	0	0	2	0	1	0	0	0	1	0	1	4	1	1	0	2	1	3	0	1	0	2	0	2	5	0	1	0	0	2	0	0	0	0	0	11	0	1	0	1	6	3	0	0	5	0	2	1	0	1	0	1	4	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	20	2	1	0	0	0	1	0	0	1	0	0	2	1	0	0	3	0	0	0	0	1	0	0	0	0	1	0	6	0	0	0	0	1	0	2	1	2	0	1	0	0	0	0	0	0	1	0	0	4	0	5	0	2	1	1	3	1	0	0	1	0	1	0	2	0	0	0	0	0	3	1	0	0	6	4	0	0	2	3	5	0	0	1	1	0	0	2	2	0	0	1	0	0	0	4	0	0	0	0	1	7	0	0	1	0	6	1	0	0	3	0	0	1	0	0	0	0	0	2	1	0	4	0	1	1	2	0	2	2	0	0	0	0	0	0	0	1	0	0	3	0	1	0	3	5	0	0	0	0
Mile In Mine	2	2	3	2	0	1	4	1	6	0	2	4	7	2	1	1	0	2	0	4	1	0	2	3	3	3	3	0	5	2	1	1	1	1	1	1	1	2	0	4	0	1	5	2	0	3	2	2	0	0	2	0	1	1	3	0	1	0	2	1	0	0	2	5	0	3	0	3	0	0	0	0	1	1	0	3	1	10	0	2	8	0	2	3	10	0	1	6	1	1	0	1	1	5	1	0	2	7	1	0	1	0	1	3	0	0	1	2	2	4	0	0	0	0	1	1	1	1	3	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	2	1	1	0	1	3	1	1	0	0	3	0	1	0	0	3	1	1	28	1	2	4	1	1	2	1	1	3	3	2	1	3	2	1	2	3	2	1	0	0	0	0	1	2	0	8	1	1	1	4	2	2	0	0	2	2	1	0	0	0	0	4	0	1	23	2	1	0	2	0	3	1	0	1	3	2	2	2	4	2	0	0	2	1	2	0	0	1	3	1	2	1	0	0	0	1	2	2	0	0	4	2	0	0	0	2	1	0	1	0	0	0	2	0	0	0	0	0	1	0	0	2	2	1	1	0	8	0	2	2	0	0	0	5	0	2	0	0	2	1	1	1	2	0	1	1	2	0	2	1	2	2	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	2	0	0	1	0	2	2	0	1	3	1	0	1	1	0	2	1	0	8	0	0	0	1	0	1	0	1	1	0	0	0	0	0	4	2	1	2	0	0	0	1	0	0	1	0	2	2	1	2	0	0	0	1	2	0	0	2	1	0	0	1	2	1	1	0	1	0	0	1	0	1	1	0	0	1	3	0	0	0	4	3	1	0	2	0	1	1	0	0	3	0	0	0	1	3	4	1	0	0	0	3	0	1	1	0	8	1	0	2	3	0	1	0	1	3	7	2	1	1	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	12	1	0	0	1	1	2	1	0	1	10	0	1	0	0	0	1	0	0	0	0	0	1	2	2	0	1	2	2	1	1	0	0	1	0	1	1	1	1	5	1	0	0	0	1	0	0	1	0	2	1	0	0	0	1	0	0	0	4	1	0	2
.	12	20	3	5	14	1	5	7	6	1	5	5	17	1	4	4	6	33	4	14	5	9	12	7	2	88	2	3	6	9	3	4	2	1	18	2	4	7	2	6	4	5	1	20	7	4	7	2	4	47	3	16	1	7	3	5	1	10	6	10	8	6	2	7	16	5	14	6	4	2	4	1	46	1	1	16	2	5	12	9	7	2	4	12	10	3	11	4	2	4	8	9	15	6	3	10	40	1	2	2	5	2	3	3	7	1	17	8	3	3	1	1	6	2	10	8	9	5	8	44	1	5	3	3	2	6	5	2	4	2	6	1	6	4	18	1	0	8	3	5	6	1	10	57	36	6	7	2	9	1	15	7	5	8	4	1	3	0	5	7	1	6	1	4	1	1	2	1	1	4	7	6	6	6	4	6	6	6	2	5	9	17	6	7	0	7	2	2	7	8	7	3	9	13	0	1	3	3	2	0	2	0	1	0	3	6	3	1	5	16	0	3	45	7	0	6	1	0	2	4	4	1	7	5	14	7	5	1	0	6	2	15	6	2	8	7	2	8	3	3	1	3	1	12	10	1	8	2	4	1	2	20	0	5	4	4	0	18	5	1	5	5	4	1	1	7	1	13	5	13	14	3	2	11	3	5	14	2	3	6	0	1	2	1	3	13	0	15	3	4	2	33	12	4	2	14	2	1	1	1	1	2	0	0	1	2	5	1	5	0	9	25	10	2	3	9	6	0	7	0	3	1	16	5	1	4	1	1	6	1	1	1	2	2	4	8	1	3	1	1	5	3	5	4	6	3	12	0	1	1	0	6	3	1	4	1	3	7	2	4	0	2	0	4	5	0	3	11	3	1	2	4	23	14	1	4	2	0	1	2	1	4	1	3	5	5	0	0	1	1	2	15	2	1	12	8	4	2	2	3	2	2	30	8	0	3	0	0	3	2	3	1	0	5	4	0	3	0	0	0	0	5	1	0	0	21	2	3	3	4	1	1	1	0	5	7	3	4	0	8	0	5	11	1	2	3	6	2	3	2	2	1	1	2	6	3	16	1	7	2	1	2	4	0	9	1	3	1	10	1	0	4	2	6	0	1	0	4	1	0	8	9	2	1	0	5	4	6	1	1	4	47	1	3	0	1	2	4	1	3
The Ideal Copy	3	1	3	1	3	2	1	2	0	5	4	6	0	8	3	6	4	5	9	2	2	2	8	4	1	7	2	5	0	2	5	6	2	3	4	0	3	2	5	3	3	7	6	6	3	2	5	3	6	13	2	4	2	2	0	2	3	1	4	0	2	2	12	4	1	2	2	3	1	4	0	4	2	0	6	2	7	0	0	4	7	1	5	2	1	3	1	2	8	0	0	7	2	1	7	0	11	0	3	1	1	1	1	0	4	3	0	1	2	3	2	0	1	3	1	2	5	0	3	4	0	4	1	8	3	2	4	2	1	1	8	2	6	3	1	1	1	1	4	3	2	1	6	4	7	2	10	5	2	0	1	1	0	5	0	5	4	8	1	8	2	2	2	9	0	5	1	9	1	1	1	5	0	0	2	1	0	5	0	7	1	1	1	1	0	5	0	0	1	0	0	3	1	3	11	10	10	3	1	0	16	2	1	0	0	3	0	0	3	1	2	1	10	0	0	1	0	0	5	5	1	0	4	0	2	5	3	2	2	0	0	1	2	3	0	0	0	5	2	1	2	0	1	0	0	5	0	1	3	1	1	0	9	5	9	1	3	8	1	1	4	1	2	5	0	0	0	3	0	0	4	1	7	4	0	3	0	6	0	2	7	1	2	4	3	3	0	4	5	0	1	1	0	5	0	0	1	1	0	3	4	0	0	0	1	0	0	5	0	10	2	2	0	0	2	4	1	2	2	0	0	5	1	2	9	1	4	2	0	0	4	0	1	1	1	2	1	1	0	2	0	0	1	1	0	1	2	1	0	0	0	1	1	0	6	3	0	0	1	1	1	2	1	2	1	7	1	1	1	0	0	2	3	4	0	3	3	9	0	1	2	1	0	2	1	0	6	1	5	2	5	4	0	0	7	1	3	1	2	0	0	0	0	0	1	1	0	0	0	0	0	1	0	3	1	1	0	0	2	1	0	0	0	2	1	0	1	0	1	0	2	1	1	4	1	0	3	0	0	1	4	0	0	1	0	2	1	0	2	1	0	2	1	0	5	0	0	0	7	2	0	2	0	2	1	0	3	0	1	0	17	3	2	2	1	0	0	9	0	0	0	0	1	0	1	0	0	7	4	1	0	4	0	2	1	3	0	5	2	0
*Sixeyes: by Alan Williamson	0	0	2	2	0	2	1	1	1	0	0	0	1	2	2	0	0	2	0	1	0	0	1	1	0	0	0	1	1	1	2	3	0	2	1	2	1	0	1	2	0	0	0	1	1	2	0	2	0	0	2	1	1	0	0	0	1	0	0	4	2	0	3	1	1	0	2	0	0	1	2	1	1	0	0	0	0	0	0	1	5	0	0	1	3	0	0	1	1	0	2	0	0	4	1	3	1	0	0	1	0	1	1	0	1	0	0	0	1	2	0	0	0	0	1	1	0	1	1	6	0	1	0	1	1	1	0	0	0	1	2	1	1	0	1	2	0	0	0	0	1	0	1	2	1	0	0	0	0	0	0	0	4	1	2	0	0	0	1	0	0	1	0	0	0	0	1	0	0	2	0	0	0	1	2	0	3	1	0	0	3	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	14	0	0	0	0	0	1	1	0	0	2	2	0	0	2	1	1	0	1	0	1	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	3	0	0	0	1	2	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	1	0	3	0	0	0	0	0	1	3	1	3	0	1	3	0	0	2	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	3	1	2	1	0	1	2	0	0	0	0	4	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	1	1	0	1	0	0	1	7	0	0	1	3	0	0	0	0	1	1	0	2	2	1	0	0	0	1	0	0	0	0	1	1	2	0	3	0	0	0	0	3	1	1	1	2	1	0	3	0	0	0	0
